"Date_Sampled","Year","Season","Sample","Watershed","Forest","Horizon","NO3_mg_kg","NH4_mg_kg"
"2016-03-07",2016,"Winter",1,"WB","HW","O",2.03,213.77
"2016-03-07",2016,"Winter",2,"WB","HW","O",0.15,74.8
"2016-03-07",2016,"Winter",3,"WB","HW","O",1.89,102.74
"2016-04-06",2016,"Winter",1,"EB","HW","O",0.06,21.81
"2016-04-06",2016,"Winter",2,"EB","HW","O",0.06,6.93
"2016-04-06",2016,"Winter",3,"EB","HW","O",0.06,4.57
"2016-04-06",2016,"Winter",1,"WB","HW","O",4.66,175.96
"2016-04-06",2016,"Winter",2,"WB","HW","O",3.77,57.48
"2016-04-06",2016,"Winter",3,"WB","HW","O",7.01,45.8
"2016-04-27",2016,"Vernal Transition",1,"EB","HW","O",0.06,5.87
"2016-04-27",2016,"Vernal Transition",2,"EB","HW","O",0.06,4.06
"2016-04-27",2016,"Vernal Transition",3,"EB","HW","O",0.06,3.07
"2016-04-27",2016,"Vernal Transition",1,"WB","HW","O",17.39,32.4
"2016-04-27",2016,"Vernal Transition",2,"WB","HW","O",5.51,72.95
"2016-04-27",2016,"Vernal Transition",3,"WB","HW","O",12.59,6.66
"2016-05-10",2016,"Vernal Transition",1,"EB","HW","O",0.06,4.09
"2016-05-10",2016,"Vernal Transition",2,"EB","HW","O",0.07,5.45
"2016-05-10",2016,"Vernal Transition",3,"EB","HW","O",0.06,7.46
"2016-05-10",2016,"Vernal Transition",1,"WB","HW","O",4.85,8.69
"2016-05-10",2016,"Vernal Transition",2,"WB","HW","O",2.61,130.06
"2016-05-10",2016,"Vernal Transition",3,"WB","HW","O",6.1,57.98
"2016-07-05",2016,"Growing Season",1,"EB","HW","O",0.06,3.91
"2016-07-05",2016,"Growing Season",2,"EB","HW","O",0.05,2.26
"2016-07-05",2016,"Growing Season",3,"EB","HW","O",0.06,4.99
"2016-07-05",2016,"Growing Season",1,"WB","HW","O",11.74,37.15
"2016-07-05",2016,"Growing Season",2,"WB","HW","O",1.95,46.12
"2016-07-05",2016,"Growing Season",3,"WB","HW","O",17.45,3.33
